stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:38125,,La Paix,,2.5655497175258644,48.95480309343718,4,,0,IDFM:73521,Europe/Paris,,2,
IDFM:38122,,Blum,,2.569615906347916,48.94855893659332,4,,0,IDFM:73495,Europe/Paris,,1,
IDFM:424442,,Saint-Exupéry,,2.553299203008956,48.79131536670437,4,,0,IDFM:424436,Europe/Paris,,2,
IDFM:424444,,Ermitage,,2.0954955569406373,48.88755265871351,,,0,IDFM:64488,Europe/Paris,,1,
IDFM:424439,,Ecu de France,,2.5247700939136997,48.79710530300001,4,,0,IDFM:419184,Europe/Paris,,2,
IDFM:38127,,Maison de Retraite,,2.5663569692284014,48.95297153693368,,,0,IDFM:73509,Europe/Paris,,1,
IDFM:23171,,Pointe de Chaville,,2.1839802909131527,48.805562658199136,3,,0,IDFM:69491,Europe/Paris,,1,
IDFM:23177,,Iéna,,2.292988681637185,48.864005908420545,1,,0,IDFM:71294,Europe/Paris,,1,
IDFM:23178,,Vélizy 2,,2.219209073324444,48.78530930826228,3,,0,IDFM:420144,Europe/Paris,,1,
IDFM:23163,,Curial - Archereau,,2.371482772762172,48.88956223776574,1,,0,IDFM:71984,Europe/Paris,,1,
IDFM:38102,,Avenue Des Tilleuls,,2.4582959538506493,49.03295904607466,5,,0,IDFM:66644,Europe/Paris,,0,
IDFM:23164,,Curial - Crimée,,2.3732770153910643,48.89345670798931,1,,0,IDFM:72023,Europe/Paris,,1,
IDFM:38106,,Briand,,2.5808815768866946,48.955109457857986,4,,0,IDFM:73523,Europe/Paris,,1,
IDFM:38109,,Brossolette,,2.5718840719559286,48.95000587031854,4,,0,IDFM:73498,Europe/Paris,,1,
IDFM:422317,,Val d'Or,,2.190807195093742,48.975476429927845,4,,0,IDFM:422319,Europe/Paris,,2,
IDFM:422332,,Pierre Curie,,2.18398725621322,48.97568202275998,4,,0,IDFM:422331,Europe/Paris,,2,
IDFM:424470,,Charles Pasqua,,2.2613645629293346,48.779353348203415,3,,0,IDFM:70018,Europe/Paris,,1,
IDFM:422328,,Joffre - Gare,,2.195096819005036,48.969291323077876,4,,0,IDFM:483251,Europe/Paris,,2,
IDFM:422327,,Joffre - Gare,,2.1951911699349607,48.969372890964976,4,,0,IDFM:483251,Europe/Paris,,2,
IDFM:422329,,Hautes Ruelles,,2.1839546411757977,48.97427893803385,4,,0,IDFM:422331,Europe/Paris,,2,
IDFM:422343,,Emile Zola,,2.189235923693036,48.977246372600824,4,,0,IDFM:422345,Europe/Paris,,1,
IDFM:422340,,Jules Massenet,,2.18637708599536,48.976606519632554,4,,0,IDFM:422342,Europe/Paris,,2,
IDFM:23141,,Les Fauvettes,,2.879909259867625,48.948273150712204,5,,0,IDFM:68879,Europe/Paris,,2,
IDFM:23140,,Clos Godet,,2.875787971305943,48.94176737915729,5,,0,IDFM:68827,Europe/Paris,,2,
IDFM:23143,,Les Fortes Terres,,2.87405849963932,48.93438269007657,5,,0,IDFM:73780,Europe/Paris,,2,
IDFM:23142,,Les Madeleines,,2.875284409554315,48.941128387177336,5,,0,IDFM:68827,Europe/Paris,,2,
IDFM:23149,,Soleil Levant,,2.2637616451020297,48.7917621072888,,,0,IDFM:70186,Europe/Paris,,1,
IDFM:23144,,Les Buttes aux Lièvres,,2.877451921587579,48.93660737316127,5,,0,IDFM:73781,Europe/Paris,,2,
IDFM:23145,,Les Buttes aux Lièvres,,2.876100912941005,48.93647109575392,5,,0,IDFM:73781,Europe/Paris,,2,
IDFM:422337,,Allée des Sources,,2.1916741704784752,48.97770346952582,4,,0,IDFM:422339,Europe/Paris,,1,
IDFM:422335,,Rue de la Frette,,2.1870533659866815,48.972672298095944,4,,0,IDFM:65488,Europe/Paris,,2,
IDFM:422334,,Clemenceau,,2.1908018321955107,48.97231095924878,4,,0,IDFM:65472,Europe/Paris,,2,
IDFM:13666,,Place du Vexin,,1.9068334184628275,49.00484822538386,5,,0,IDFM:66281,Europe/Paris,,1,
IDFM:13667,,Place du Vexin,,1.9065965786748875,49.00502142822019,5,,0,IDFM:66281,Europe/Paris,,1,
IDFM:13665,,Gare des Mureaux (D2),,1.9125595075409645,48.99311507682117,5,,0,IDFM:65994,Europe/Paris,,2,
IDFM:412862,,Chantereine,,2.6144709050868618,48.9000697325981,4,,0,IDFM:68625,Europe/Paris,,1,
IDFM:424497,,Église,,2.5933250302771995,49.01746862413515,5,,0,IDFM:69218,Europe/Paris,,0,
IDFM:13660,,Mairie,,1.8123728147298874,48.95727143145471,5,,0,IDFM:65217,Europe/Paris,,2,
IDFM:424499,,Maisonneuve,,2.7972380661157437,49.07156752061648,5,,0,IDFM:69374,Europe/Paris,,0,
IDFM:13677,,Les Meuniers,,2.0240214902834244,48.90125521805233,5,,0,IDFM:64597,Europe/Paris,,2,
IDFM:13678,,Eglise,,1.7763807195431758,49.07185770560519,5,,0,IDFM:67038,Europe/Paris,,2,
IDFM:13674,,Abreuvoir,,2.0204490967328397,48.90333953223706,5,,0,IDFM:64610,Europe/Paris,,2,
IDFM:13672,,Rue de Feucherolles,,2.02262186817673,48.907503285696585,5,,0,IDFM:64648,Europe/Paris,,2,
IDFM:13684,,Flore,,2.04451465673192,48.96497567857798,5,,0,IDFM:65333,Europe/Paris,,1,
IDFM:13685,,Flore,,2.044903420057314,48.965374466203606,5,,0,IDFM:65333,Europe/Paris,,1,
IDFM:13686,,Foch,,2.0637904710055865,48.98674653426277,5,,0,IDFM:65804,Europe/Paris,,1,
IDFM:13687,,Foch,,2.064580992547655,48.98761600527591,5,,0,IDFM:65804,Europe/Paris,,1,
IDFM:13688,,Rue de Chanteloup,,2.044984042372866,48.96767730584721,5,,0,IDFM:65378,Europe/Paris,,1,
IDFM:13689,,Rue de Chanteloup,,2.045341930736145,48.96752727515552,5,,0,IDFM:65378,Europe/Paris,,2,
IDFM:23199,,Groupe Scolaire Jean-Jacques Rousseau,,2.3805389122773564,48.78289978980397,3,,0,IDFM:70047,Europe/Paris,,1,
IDFM:23195,,Ledru Rollin,,2.383161897960942,48.81545344779458,2,,0,IDFM:70526,Europe/Paris,,1,
IDFM:23198,,Colonel Fabien,,2.375480622062814,48.78819794118752,,,0,IDFM:70142,Europe/Paris,,1,
IDFM:23191,,Solidarité - Amédée Huon,,2.384604089501348,48.80402968533863,3,,0,IDFM:70349,Europe/Paris,,1,
IDFM:23194,,Lucien Selva,,2.38300562998096,48.80794278143737,3,,0,IDFM:70405,Europe/Paris,,1,
IDFM:13681,,Les Charvaux,,2.0543842224143316,48.990800439995226,5,,0,IDFM:65912,Europe/Paris,,1,
IDFM:13683,,Desavis,,2.0542603821379952,48.979585456074,5,,0,IDFM:65648,Europe/Paris,,2,
IDFM:13682,,Desavis,,2.0541641067632326,48.97962066833733,5,,0,IDFM:65648,Europe/Paris,,2,
IDFM:13697,,Ponceau,,2.046604320479559,48.97093664673415,5,,0,IDFM:65435,Europe/Paris,,2,
IDFM:13698,,Ponceau,,2.0471354702486475,48.97176821606668,5,,0,IDFM:65435,Europe/Paris,,2,
IDFM:13695,,Marché,,2.057909948764143,48.97873287622711,5,,0,IDFM:65619,Europe/Paris,,2,
