service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:102909,1,1,1,1,1,1,0,20240712,20240912
IDFM:102957,0,0,0,0,0,1,1,20240907,20240908
IDFM:103294,0,0,0,0,0,1,0,20240713,20240831
IDFM:103330,1,1,1,1,1,0,0,20240715,20240830
IDFM:103357,1,1,1,1,1,1,1,20240712,20240901
IDFM:103362,1,1,1,1,0,1,1,20240712,20240901
IDFM:103364,1,1,1,1,0,1,1,20240713,20240901
IDFM:103529,0,0,0,0,0,1,0,20240713,20240831
IDFM:103532,0,0,0,0,1,0,0,20240712,20240802
IDFM:103587,0,0,0,0,0,1,0,20240713,20240908
IDFM:103978,0,0,0,0,0,1,1,20240713,20240901
IDFM:104409,0,0,0,0,0,1,0,20240713,20240912
IDFM:104423,0,0,0,0,0,1,0,20240713,20240912
IDFM:104933,0,0,0,0,1,1,0,20240712,20240907
IDFM:104971,0,0,0,0,0,1,1,20240713,20240907
IDFM:105343,1,1,1,1,0,0,0,20240715,20240829
IDFM:106297,1,1,1,1,1,0,0,20240801,20240830
IDFM:106299,1,1,1,0,1,0,0,20240712,20240731
IDFM:106365,0,0,0,0,0,0,1,20240714,20240908
IDFM:106379,1,1,1,0,1,0,0,20240712,20240907
IDFM:106400,0,0,0,0,0,0,1,20240901,20240908
IDFM:106450,0,0,0,0,0,1,1,20240713,20240831
IDFM:106452,0,0,0,0,0,0,1,20240714,20240907
IDFM:106542,1,1,0,1,0,0,0,20240902,20240912
IDFM:106861,0,0,0,0,0,1,0,20240713,20240908
IDFM:107200,0,0,0,0,0,1,1,20240713,20240907
IDFM:107201,1,1,1,1,1,0,0,20240715,20240912
IDFM:107204,0,0,0,0,0,1,1,20240713,20240831
IDFM:107205,0,0,0,0,0,1,0,20240713,20240831
IDFM:107264,1,1,1,1,1,0,0,20240715,20240830
IDFM:107523,1,1,1,1,1,0,1,20240714,20240830
IDFM:107912,0,0,0,0,0,1,0,20240713,20240912
IDFM:108363,1,1,1,1,1,0,1,20240712,20240901
IDFM:108364,0,0,0,0,0,1,1,20240713,20240901
IDFM:109072,1,1,1,1,1,0,0,20240712,20240813
IDFM:109074,1,1,1,1,1,0,0,20240712,20240830
IDFM:109086,1,1,1,1,1,0,0,20240712,20240912
IDFM:109093,1,1,1,1,1,0,0,20240816,20240830
IDFM:109108,0,0,0,0,0,1,0,20240713,20240907
IDFM:109151,1,1,1,1,1,0,0,20240712,20240912
IDFM:109165,0,0,0,0,0,1,0,20240713,20240912
IDFM:109177,1,1,1,1,1,0,0,20240816,20240912
IDFM:109181,1,1,1,1,1,0,0,20240712,20240907
IDFM:109198,1,1,1,1,1,0,0,20240816,20240912
IDFM:109199,1,1,1,1,1,0,0,20240712,20240912
IDFM:109224,0,0,0,0,0,1,0,20240713,20240912
IDFM:109270,1,1,1,0,1,1,0,20240712,20240831
IDFM:109322,0,0,0,0,0,1,0,20240713,20240831
IDFM:109476,1,1,1,1,1,0,0,20240712,20240912
IDFM:109536,1,1,1,1,1,0,0,20240712,20240912
IDFM:109537,0,0,1,0,0,0,0,20240717,20240911
IDFM:109538,1,1,0,1,1,0,0,20240712,20240912
IDFM:109700,1,1,1,1,1,0,0,20240712,20240912
IDFM:110198,1,1,1,1,1,0,0,20240712,20240912
IDFM:110208,1,1,1,1,1,0,0,20240801,20240912
IDFM:110738,1,1,1,1,1,0,0,20240801,20240830
IDFM:111982,1,1,1,1,1,0,0,20240712,20240830
IDFM:112041,1,1,1,1,1,0,0,20240805,20240823
IDFM:112088,0,0,0,0,0,1,0,20240713,20240803
IDFM:112145,0,0,0,0,0,1,0,20240810,20240831
IDFM:112751,1,1,1,1,1,0,0,20240712,20240912
IDFM:113459,0,0,0,0,0,0,1,20240714,20240728
IDFM:113501,0,0,0,0,0,0,1,20240804,20240825
IDFM:113529,1,1,1,1,1,0,0,20240801,20240830
IDFM:113635,1,1,1,0,1,0,0,20240712,20240802
IDFM:113942,1,1,1,1,0,0,0,20240801,20240829
IDFM:114655,0,0,0,0,0,0,1,20240714,20240908
IDFM:115078,1,1,1,1,1,0,0,20240712,20240830
IDFM:115087,0,0,0,0,0,0,1,20240714,20240825
IDFM:116271,1,1,1,1,0,0,0,20240801,20240829
IDFM:116272,0,0,0,0,0,1,0,20240803,20240831
IDFM:116306,0,0,0,0,0,1,0,20240713,20240727
IDFM:117709,0,0,0,0,1,0,0,20240712,20240726
IDFM:117717,1,1,1,1,0,0,0,20240712,20240829
IDFM:117718,0,0,0,0,0,1,0,20240803,20240831
IDFM:118355,0,0,0,0,0,1,0,20240713,20240907
IDFM:118388,1,1,1,1,1,1,0,20240712,20240907
IDFM:119338,1,1,1,1,0,0,0,20240715,20240731
IDFM:119401,1,1,1,1,1,1,0,20240801,20240831
IDFM:119905,0,0,0,0,1,1,0,20240802,20240831
IDFM:120004,0,0,0,0,1,0,0,20240802,20240830
IDFM:121344,1,1,1,1,1,0,0,20240801,20240830
IDFM:122445,0,0,0,0,0,1,1,20240713,20240907
IDFM:122507,0,0,0,0,0,1,0,20240713,20240831
IDFM:123421,1,1,1,1,0,0,0,20240902,20240912
IDFM:124000,1,1,1,1,1,0,0,20240712,20240912
IDFM:124403,0,0,0,0,0,0,1,20240714,20240912
IDFM:124467,1,1,1,1,1,0,0,20240712,20240912
IDFM:124470,1,1,1,1,1,0,0,20240712,20240907
IDFM:124753,1,1,1,1,1,1,1,20240712,20240912
IDFM:124777,1,1,1,1,1,1,0,20240712,20240912
IDFM:124926,1,1,1,1,1,0,1,20240712,20240912
IDFM:125043,0,0,0,0,0,1,0,20240712,20240831
IDFM:125116,1,1,1,1,0,1,0,20240712,20240831
IDFM:125287,1,1,1,1,0,0,0,20240712,20240829
IDFM:125442,1,1,1,1,0,0,0,20240715,20240829
IDFM:125633,1,1,1,1,0,1,1,20240712,20240831
IDFM:125639,0,0,0,0,0,1,0,20240712,20240831
IDFM:125730,0,0,0,0,0,1,0,20240712,20240831
IDFM:125874,0,0,0,0,0,1,0,20240713,20240831
IDFM:125968,1,1,1,1,0,0,0,20240712,20240907
IDFM:128583,1,1,1,1,1,0,1,20240712,20240830
IDFM:128783,1,1,1,1,0,0,1,20240714,20240829
IDFM:128786,0,0,0,0,1,1,0,20240712,20240831
IDFM:129439,0,0,0,0,0,1,0,20240713,20240907
IDFM:129441,0,0,0,0,1,1,0,20240712,20240907
IDFM:130037,1,1,1,1,1,1,1,20240712,20240908
IDFM:130069,1,1,1,1,1,1,1,20240712,20240908
IDFM:130137,1,1,1,1,1,1,1,20240712,20240831
IDFM:130153,1,1,1,1,1,1,1,20240712,20240912
IDFM:130154,1,1,1,1,1,1,1,20240712,20240912
IDFM:130156,1,1,1,1,0,0,1,20240901,20240912
IDFM:130158,1,1,1,1,1,0,0,20240722,20240912
IDFM:130174,1,1,1,1,0,0,0,20240715,20240912
IDFM:130191,0,0,0,0,0,1,0,20240831,20240907
IDFM:130192,1,1,1,1,1,0,0,20240712,20240912
IDFM:130200,0,0,0,0,0,1,0,20240713,20240907
IDFM:130204,0,0,0,0,0,0,1,20240721,20240912
IDFM:130213,1,1,1,0,1,0,0,20240729,20240906
IDFM:130261,0,0,0,0,0,1,0,20240713,20240912
IDFM:130280,0,0,0,0,0,0,1,20240721,20240906
IDFM:130282,0,0,0,0,0,1,0,20240713,20240906
IDFM:130354,1,1,1,1,1,0,0,20240712,20240912
IDFM:130478,1,1,1,1,1,0,0,20240729,20240912
IDFM:130612,1,1,1,1,1,0,0,20240712,20240912
IDFM:130749,0,0,0,0,0,0,1,20240721,20240907
IDFM:130752,0,0,0,0,0,1,1,20240713,20240908
IDFM:130761,0,0,0,0,0,1,1,20240713,20240908
IDFM:130763,1,1,1,0,1,0,0,20240729,20240907
IDFM:130785,0,0,0,0,0,0,1,20240721,20240907
IDFM:131047,0,0,0,0,0,1,0,20240713,20240908
IDFM:131059,0,0,0,0,0,0,1,20240721,20240908
IDFM:131079,0,0,0,0,0,1,1,20240712,20240908
IDFM:131082,0,0,0,0,0,0,1,20240712,20240908
IDFM:131083,0,0,0,0,0,1,1,20240713,20240908
IDFM:131150,1,1,1,1,1,0,0,20240712,20240908
IDFM:131922,0,0,0,0,0,1,0,20240712,20240908
IDFM:132065,0,0,0,0,0,0,1,20240901,20240908
IDFM:132066,1,1,1,1,1,1,0,20240826,20240912
IDFM:132067,1,1,1,1,0,0,1,20240901,20240912
IDFM:132069,1,1,1,1,1,0,0,20240712,20240906
IDFM:132072,1,1,1,1,1,0,0,20240712,20240912
IDFM:132077,1,1,1,1,1,0,0,20240712,20240906
IDFM:132097,1,1,1,1,0,0,1,20240721,20240912
IDFM:132114,1,1,1,1,0,1,0,20240831,20240912
IDFM:132115,0,0,0,0,0,0,1,20240721,20240912
IDFM:132116,0,0,0,0,0,1,1,20240713,20240912
IDFM:132140,1,1,1,1,1,0,0,20240712,20240912
IDFM:132152,1,1,1,1,1,0,0,20240729,20240912
IDFM:132203,1,1,1,1,0,0,1,20240715,20240912
IDFM:132206,1,1,1,1,0,0,0,20240826,20240912
IDFM:132207,1,1,1,1,1,0,0,20240826,20240830
IDFM:132209,0,0,0,1,1,1,1,20240712,20240908
IDFM:132210,0,0,0,0,0,1,1,20240713,20240912
IDFM:132211,1,1,1,1,1,0,0,20240712,20240830
IDFM:132219,1,1,1,1,1,0,0,20240826,20240912
IDFM:132223,1,1,1,1,1,0,0,20240729,20240912
IDFM:132236,1,1,1,1,1,0,0,20240712,20240906
IDFM:132243,0,0,0,0,1,0,0,20240826,20240906
IDFM:132246,1,1,1,1,1,1,1,20240712,20240912
IDFM:132249,0,0,0,0,0,1,1,20240831,20240908
IDFM:132251,0,0,0,0,0,1,0,20240713,20240908
IDFM:132252,0,0,0,0,0,0,1,20240721,20240908
IDFM:132255,0,0,0,0,0,1,1,20240713,20240912
IDFM:132266,1,1,1,1,0,1,1,20240713,20240912
IDFM:132267,1,1,1,1,1,1,1,20240712,20240912
IDFM:132301,1,1,1,1,1,0,1,20240826,20240912
IDFM:132307,1,1,1,1,1,0,0,20240712,20240912
IDFM:132321,1,1,1,1,1,0,0,20240712,20240906
IDFM:132325,1,1,1,1,1,0,1,20240712,20240907
IDFM:132327,1,1,1,1,1,0,0,20240712,20240907
IDFM:132329,0,0,0,0,1,0,0,20240712,20240907
IDFM:132358,1,1,1,1,1,0,0,20240712,20240907
IDFM:132415,0,0,0,0,1,1,0,20240712,20240907
IDFM:132424,0,0,0,0,0,0,1,20240721,20240907
IDFM:132563,0,0,0,0,0,1,0,20240713,20240830
IDFM:132567,1,1,1,1,1,0,0,20240729,20240830
IDFM:132572,0,0,0,0,0,0,1,20240721,20240830
IDFM:132711,1,1,1,1,1,0,0,20240729,20240908
IDFM:132724,1,1,1,1,0,1,1,20240712,20240912
IDFM:132775,1,1,1,1,1,1,0,20240712,20240907
IDFM:132781,1,1,1,1,1,1,0,20240712,20240912
IDFM:132790,1,1,1,1,1,1,0,20240712,20240912
IDFM:132886,1,1,1,1,1,0,0,20240712,20240912
IDFM:132898,0,0,0,0,0,1,0,20240713,20240912
IDFM:132901,0,0,0,0,0,1,0,20240826,20240907
IDFM:132902,0,0,0,0,0,1,0,20240713,20240907
IDFM:132931,0,0,0,0,0,1,0,20240713,20240912
IDFM:133174,1,1,1,1,1,0,0,20240729,20240816
IDFM:133175,1,1,1,1,1,0,0,20240712,20240823
IDFM:133177,0,0,0,0,0,0,1,20240721,20240825
IDFM:133178,0,0,0,0,0,1,0,20240713,20240824
IDFM:133179,1,1,1,1,1,0,0,20240712,20240823
IDFM:133206,1,1,1,1,1,0,1,20240712,20240825
IDFM:133257,0,0,0,1,1,0,1,20240712,20240825
IDFM:133260,0,0,0,0,1,1,0,20240712,20240824
IDFM:133266,0,0,0,1,1,1,1,20240712,20240825
IDFM:133434,0,0,0,0,0,1,1,20240713,20240825
IDFM:133436,0,0,0,0,0,1,0,20240713,20240824
IDFM:133569,0,0,0,0,0,0,1,20240721,20240825
IDFM:133862,1,1,1,1,1,1,0,20240712,20240824
IDFM:134441,1,1,1,1,0,0,1,20240714,20240912
IDFM:134456,0,0,0,0,0,1,1,20240713,20240908
IDFM:134502,0,0,0,0,1,0,1,20240906,20240908
IDFM:134512,1,1,1,1,0,0,0,20240729,20240908
IDFM:134571,0,0,0,0,1,0,0,20240712,20240908
IDFM:134609,1,1,1,1,0,0,0,20240715,20240906
IDFM:134612,0,0,0,0,1,0,0,20240802,20240830
IDFM:134614,1,1,1,1,0,0,0,20240715,20240725
IDFM:134620,1,1,1,1,1,0,0,20240712,20240726
IDFM:134672,1,1,1,1,1,0,0,20240729,20240907
IDFM:134674,0,0,0,0,1,0,0,20240712,20240907
IDFM:134811,0,0,0,0,1,0,0,20240712,20240907
IDFM:134822,0,0,0,0,1,1,0,20240906,20240907
IDFM:134895,0,0,0,0,0,1,0,20240713,20240912
IDFM:134924,0,0,0,0,1,0,0,20240712,20240830
IDFM:134931,1,1,1,1,0,0,0,20240715,20240908
IDFM:134936,0,0,0,0,0,1,0,20240713,20240908
IDFM:134952,0,0,0,0,0,1,1,20240713,20240912
IDFM:134982,1,1,1,1,1,0,0,20240729,20240908
IDFM:135016,0,0,0,0,0,0,1,20240714,20240912
IDFM:135174,1,1,0,0,0,1,0,20240713,20240907
IDFM:135397,1,1,1,1,0,0,0,20240902,20240912
IDFM:135424,1,1,1,1,0,0,0,20240902,20240912
IDFM:135425,0,0,0,0,1,0,0,20240712,20240906
IDFM:135447,1,1,1,1,1,0,0,20240712,20240912
IDFM:135524,1,1,1,1,0,0,0,20240715,20240912
IDFM:135539,0,0,0,0,1,0,0,20240802,20240912
IDFM:135615,0,0,0,0,1,0,0,20240712,20240912
IDFM:135989,0,0,0,0,0,0,1,20240721,20240901
