from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:7555,IDFM:7525,2,201
IDFM:38767,IDFM:423526,2,75
IDFM:14904,IDFM:14905,2,60
IDFM:39342,IDFM:27497,2,332
IDFM:27117,IDFM:27116,2,317
IDFM:486450,IDFM:420180,2,60
IDFM:26552,IDFM:18205,2,283
IDFM:490639,IDFM:38260,2,235
IDFM:480112,IDFM:480314,2,290
IDFM:24609,IDFM:22001,2,349
IDFM:463193,IDFM:483760,2,250
IDFM:2412,IDFM:2411,2,73
IDFM:23649,IDFM:27479,2,60
IDFM:16791,IDFM:16792,2,80
IDFM:41439,IDFM:37735,2,82
IDFM:monomodalStopPlace:46482,IDFM:422481,2,208
IDFM:11369,IDFM:11370,2,321
IDFM:15369,IDFM:15368,2,60
IDFM:427752,IDFM:427751,2,60
IDFM:9975,IDFM:37623,2,60
IDFM:21515,IDFM:23988,2,342
IDFM:34583,IDFM:34574,2,238
IDFM:20313,IDFM:20416,2,241
IDFM:37781,IDFM:28787,2,171
IDFM:490816,IDFM:23703,2,196
IDFM:8052,IDFM:8135,2,353
IDFM:17558,IDFM:4333,2,328
IDFM:477513,IDFM:8463,2,358
IDFM:462977,IDFM:7870,2,261
IDFM:4121,IDFM:425648,2,60
IDFM:27252,IDFM:483462,2,216
IDFM:14855,IDFM:16199,2,60
IDFM:23065,IDFM:419205,2,204
IDFM:13427,IDFM:13418,2,309
IDFM:471800,IDFM:4144,2,354
IDFM:483230,IDFM:483225,2,60
IDFM:416842,IDFM:416844,2,60
IDFM:13977,IDFM:18490,2,302
IDFM:42101,IDFM:42109,2,6
IDFM:35954,IDFM:35955,2,60
IDFM:28534,IDFM:34332,2,147
IDFM:424899,IDFM:424902,2,60
IDFM:482897,IDFM:483227,2,700
IDFM:24080,IDFM:40886,2,190
IDFM:28457,IDFM:487552,2,63
IDFM:26634,IDFM:26635,2,60
IDFM:9058,IDFM:8604,2,60
IDFM:20388,IDFM:4328,2,277
IDFM:7911,IDFM:28770,2,322
IDFM:27070,IDFM:463284,2,261
IDFM:37380,IDFM:37359,2,321
IDFM:11335,IDFM:11334,2,60
IDFM:33211,IDFM:35798,2,60
IDFM:25915,IDFM:25913,2,211
IDFM:22489,IDFM:22488,2,60
IDFM:462948,IDFM:462947,2,97
IDFM:7556,IDFM:7572,2,370
IDFM:3310,IDFM:3619,2,244
IDFM:478394,IDFM:463061,2,363
IDFM:13479,IDFM:18465,2,60
IDFM:22119,IDFM:14672,2,255
IDFM:420552,IDFM:monomodalStopPlace:58498,2,336
IDFM:22191,IDFM:22971,2,209
IDFM:478024,IDFM:478130,2,359
IDFM:35985,IDFM:415489,2,376
IDFM:22421,IDFM:422947,2,163
IDFM:414486,IDFM:419586,2,69
IDFM:39693,IDFM:40048,2,204
IDFM:463170,IDFM:421767,2,219
IDFM:4591,IDFM:424802,2,60
IDFM:40077,IDFM:7857,2,61
IDFM:27676,IDFM:472503,2,315
IDFM:24409,IDFM:24813,2,197
IDFM:27616,IDFM:27629,2,60
IDFM:16931,IDFM:27878,2,330
IDFM:420180,IDFM:483214,2,227
IDFM:27724,IDFM:26916,2,275
IDFM:19801,IDFM:monomodalStopPlace:47906,2,210
IDFM:479798,IDFM:14681,2,78
IDFM:39125,IDFM:419332,2,371
IDFM:36649,IDFM:36306,2,356
IDFM:8618,IDFM:8625,2,257
IDFM:462961,IDFM:463316,2,284
IDFM:17162,IDFM:17161,2,67
IDFM:412427,IDFM:474210,2,505
IDFM:23178,IDFM:12735,2,242
IDFM:11614,IDFM:11619,2,373
IDFM:462980,IDFM:22640,2,171
IDFM:21508,IDFM:422466,2,302
IDFM:17409,IDFM:14841,2,352
IDFM:27973,IDFM:27625,2,220
IDFM:422265,IDFM:38879,2,60
IDFM:463962,IDFM:28019,2,376
IDFM:39501,IDFM:27506,2,60
IDFM:13114,IDFM:monomodalStopPlace:47669,2,269
IDFM:483229,IDFM:482898,2,203
IDFM:32087,IDFM:32246,2,289
IDFM:425125,IDFM:33841,2,367
IDFM:39466,IDFM:25117,2,334
IDFM:28540,IDFM:462969,2,257
IDFM:26173,IDFM:26175,2,343
IDFM:3887,IDFM:3886,2,60
IDFM:34155,IDFM:29477,2,121
IDFM:40697,IDFM:40751,2,372
IDFM:3419,IDFM:3418,2,75
IDFM:27767,IDFM:37291,2,306
IDFM:33226,IDFM:33223,2,289
IDFM:481156,IDFM:32828,2,369
IDFM:monomodalStopPlace:462357,IDFM:27731,2,330
IDFM:34839,IDFM:34853,2,349
IDFM:32553,IDFM:8581,2,236
IDFM:25910,IDFM:25912,2,342
IDFM:4223,IDFM:4222,2,60
IDFM:34989,IDFM:35007,2,327
IDFM:21326,IDFM:21331,2,293
IDFM:14578,IDFM:423566,2,355
IDFM:28333,IDFM:29031,2,312
IDFM:39810,IDFM:39988,2,62
IDFM:483757,IDFM:monomodalStopPlace:43241,2,271
IDFM:33030,IDFM:32993,2,241
IDFM:25742,IDFM:36944,2,257
IDFM:39992,IDFM:monomodalStopPlace:58875,2,186
IDFM:17896,IDFM:35369,2,60
IDFM:40850,IDFM:37705,2,113
IDFM:41519,IDFM:22156,2,611
IDFM:472486,IDFM:37768,2,236
IDFM:28352,IDFM:38145,2,222
IDFM:21623,IDFM:2685,2,379
IDFM:411599,IDFM:411598,2,264
IDFM:25786,IDFM:25788,2,319
IDFM:39464,IDFM:462946,2,320
IDFM:33097,IDFM:33096,2,350
IDFM:472194,IDFM:470573,2,95
IDFM:414483,IDFM:419501,2,369
IDFM:27320,IDFM:463090,2,251
IDFM:21514,IDFM:471456,2,217
IDFM:30835,IDFM:31039,2,343
IDFM:7506,IDFM:7486,2,202
IDFM:427351,IDFM:26566,2,229
IDFM:26265,IDFM:7774,2,191
IDFM:12608,IDFM:12864,2,225
IDFM:17163,IDFM:17164,2,110
IDFM:462978,IDFM:22811,2,331
IDFM:15717,IDFM:15513,2,288
IDFM:32465,IDFM:32464,2,358
IDFM:18776,IDFM:18778,2,286
IDFM:420836,IDFM:420833,2,60
IDFM:29205,IDFM:29214,2,299
IDFM:9077,IDFM:9093,2,76
IDFM:11430,IDFM:11426,2,353
IDFM:463316,IDFM:28400,2,241
IDFM:22472,IDFM:32807,2,239
IDFM:26643,IDFM:11492,2,356
IDFM:35859,IDFM:23733,2,238
IDFM:417744,IDFM:13655,2,140
IDFM:462526,IDFM:21785,2,321
IDFM:24920,IDFM:39366,2,220
IDFM:478986,IDFM:478978,2,5
IDFM:24833,IDFM:463125,2,362
IDFM:486920,IDFM:490507,2,101
IDFM:477457,IDFM:3869,2,151
IDFM:18834,IDFM:19456,2,275
IDFM:21956,IDFM:8448,2,364
IDFM:15825,IDFM:15816,2,262
IDFM:4207,IDFM:19914,2,129
IDFM:13175,IDFM:17098,2,69
IDFM:413320,IDFM:5078,2,345
IDFM:481433,IDFM:481424,2,364
IDFM:26361,IDFM:20122,2,365
IDFM:17836,IDFM:18002,2,194
IDFM:5610,IDFM:5620,2,283
IDFM:420278,IDFM:12129,2,368
IDFM:monomodalStopPlace:427870,IDFM:31265,2,228
IDFM:488330,IDFM:27022,2,344
IDFM:34137,IDFM:463109,2,251
IDFM:484095,IDFM:32467,2,303
IDFM:30936,IDFM:30954,2,87
IDFM:5730,IDFM:9879,2,231
IDFM:474313,IDFM:32139,2,199
IDFM:13494,IDFM:13493,2,60
IDFM:491341,IDFM:4133,2,372
IDFM:22186,IDFM:25749,2,265
IDFM:17544,IDFM:17204,2,355
IDFM:28054,IDFM:28057,2,337
IDFM:4041,IDFM:472087,2,60
IDFM:34632,IDFM:482898,2,60
IDFM:36168,IDFM:22839,2,197
IDFM:34509,IDFM:32297,2,86
IDFM:23657,IDFM:463096,2,309
IDFM:monomodalStopPlace:43097,IDFM:479469,2,224
IDFM:491239,IDFM:38541,2,255
IDFM:15927,IDFM:15910,2,342
IDFM:33087,IDFM:33128,2,335
IDFM:7288,IDFM:487839,2,213
IDFM:monomodalStopPlace:47874,IDFM:34673,2,281
IDFM:3658,IDFM:3659,2,64
IDFM:422916,IDFM:2465,2,242
IDFM:16566,IDFM:16571,2,307
IDFM:12700,IDFM:41853,2,60
IDFM:17120,IDFM:17142,2,253
IDFM:20070,IDFM:20071,2,60
IDFM:7448,IDFM:7419,2,361
IDFM:3999,IDFM:4033,2,294
